p,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,largeNc/finiteNc1,largeNc/finiteNc2,error,time
0.008,0.08800000000000001,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:42.059367
0.401,0.08800000000000001,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:42.229519
0.012,0.136,2.0,10,1.17,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:50.169092
0.5870000000000001,0.136,2.0,10,1.17,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:50.131471
0.017,0.21,2.0,10,1.66,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:03.174496
0.828,0.21,2.0,10,1.66,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:03.342177
0.022000000000000002,0.324,2.0,10,2.19,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:36.519853
1.095,0.324,2.0,10,2.19,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:32.189927
0.025,0.5,2.0,10,2.5,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:05.931706
1.25,0.5,2.0,10,2.5,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:04.755657
0.005,0.01,2.0,50,0.49,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:46.642012
0.247,0.01,2.0,50,0.49,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:36.087526
0.008,0.015,2.0,50,0.76,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:40.024788
0.38,0.015,2.0,50,0.76,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:39.440823
0.012,0.024,2.0,50,1.16,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:42.479663
0.5820000000000001,0.024,2.0,50,1.16,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:44.697617
0.018000000000000002,0.037000000000000005,2.0,50,1.77,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:47.808920
0.887,0.037000000000000005,2.0,50,1.77,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:48.249761
0.027000000000000003,0.057,2.0,50,2.68,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:56.660177
1.342,0.057,2.0,50,2.68,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:52.899548
0.04,0.08800000000000001,2.0,50,4.01,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:59.496103
2.004,0.08800000000000001,2.0,50,4.01,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:01.701493
0.059000000000000004,0.136,2.0,50,5.87,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:09.202580
2.9330000000000003,0.136,2.0,50,5.87,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:12.904058
0.083,0.21,2.0,50,8.28,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:36.597586
4.142,0.21,2.0,50,8.28,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:28.705391
0.109,0.324,2.0,50,10.95,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:10.139769
5.473,0.324,2.0,50,10.95,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:07.730488
0.125,0.5,2.0,50,12.5,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:54.989332
6.25,0.5,2.0,50,12.5,40,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:56.400079
0.02,0.01,2.0,10,0.1,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:57.749688
0.03,0.015,2.0,10,0.15,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:31.289054
0.047,0.024,2.0,10,0.23,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:08.677433
0.071,0.037000000000000005,2.0,10,0.35,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:36.270248
0.107,0.057,2.0,10,0.54,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:18.679422
0.16,0.08800000000000001,2.0,10,0.8,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:10.946626
0.235,0.136,2.0,10,1.17,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:55.366303
0.331,0.21,2.0,10,1.66,50,3,0j,(0.711-1.011j),(0.58-0.849j),0j,(-922.693+1046.092j),-inf,inf,0.169,0 days 00:12:59.883865
0.43799999999999994,0.324,2.0,10,2.19,50,3,(2.114-3.039j),(1.626-2.257j),(1.355-1.911j),(14.096-19.273j),(13.669-18.948j),0.74,0.98,0.158,0 days 00:25:53.999224
0.5,0.5,2.0,10,2.5,50,3,(2.883-3.958j),(2.405-3.275j),(2.027-2.778j),(16.772-21.225j),(16.171-20.802j),0.83,0.98,0.154,0 days 00:25:43.821433
0.099,0.01,2.0,50,0.49,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:49.081312
0.152,0.015,2.0,50,0.76,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:59.487973
0.233,0.024,2.0,50,1.16,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:20.886197
0.355,0.037000000000000005,2.0,50,1.77,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:49.162593
0.537,0.057,2.0,50,2.68,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:38.804618
0.802,0.08800000000000001,2.0,50,4.01,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:38.174675
1.173,0.136,2.0,50,5.87,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:09.036233
1.6569999999999998,0.21,2.0,50,8.28,50,3,(5428275279.41+48763934043.911j),(50.895-61.01j),(44.285-51.614j),(23848097954.643+214235097640.059j),(67.783-84.283j),-0.0,-0.0,0.145,0 days 00:25:16.793459
2.189,0.324,2.0,50,10.95,50,3,(81.406-110.501j),(80.7-110.079j),(70.173-94.922j),(92.539-132.332j),(92.682-132.267j),1.0,1.0,0.135,0 days 00:24:48.847480
2.5,0.5,2.0,50,12.5,50,3,(96.437-143.501j),(95.689-143.115j),(82.719-125.621j),(104.203-163.588j),(104.51-163.54j),1.0,1.0,0.126,0 days 00:24:31.100700
0.198,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:11.662697
0.304,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:25.075757
0.466,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:51.420241
0.71,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:23.861609
1.073,0.057,2.0,100,5.37,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:05:10.880253
1.6030000000000002,0.08800000000000001,2.0,100,8.02,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:06:40.043130
2.346,0.136,2.0,100,11.73,50,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:09:21.790630
3.314,0.21,2.0,100,16.57,50,3,(116.456-237.885j),(115.744-237.499j),(98.28-217.149j),(119.421-251.365j),(119.674-251.415j),1.0,1.0,0.102,0 days 00:24:25.369701
4.379,0.324,2.0,100,21.89,50,3,(110.591-346.856j),(109.999-346.305j),(76.921-330.862j),(111.919-351.955j),(112.203-352.156j),1.0,1.0,0.1,0 days 00:24:39.259692
5.0,0.5,2.0,100,25.0,50,3,(112.437-419.102j),(111.746-418.499j),(52.367-379.299j),(114.381-420.732j),(114.761-421.055j),1.0,1.0,0.164,0 days 00:24:18.789868
0.02,0.01,2.0,10,0.1,60,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:01:43.351129
0.03,0.015,2.0,10,0.15,60,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:06:46.763016
0.047,0.024,2.0,10,0.23,60,3,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:27:20.959890
0.071,0.037000000000000005,2.0,10,0.35,60,3,(0.106-0.537j),(0.007-0.01j),(0.006-0.008j),(1.311-5.336j),(1.307-5.333j),0.02,1.0,0.182,0 days 01:23:06.435753
0.107,0.057,2.0,10,0.54,60,3,(0.186-0.757j),(0.026-0.035j),(0.021-0.029j),(2.253-7.65j),(2.243-7.64j),0.05,1.0,0.184,0 days 01:24:04.967634
0.16,0.088,2.0,10,0.8,60,3,(0.334-1.03j),(0.084-0.117j),(0.067-0.096j),(3.818-10.458j),(3.79-10.43j),0.11,1.0,0.185,0 days 01:27:20.330640
