ω,z,E,p,grid_points,grid_size,L,t_failed,worked?
21.89,0.324,100,10.947,50,3,2,2.0,True
25.0,0.5,100,8.093,60,3,2,2.0,True
16.57,0.21,100,0.943,50,3,2,2.0,True
16.57,0.21,100,0.166,50,2,2,2.0,True
3.55,0.037,100,0.202,50,2,2,2.0,True
21.89,0.324,100,0.219,60,3,2,2.0,True
3.55,0.037,100,0.055,60,3,2,2.0,True
25.0,0.5,100,3.393,60,3,2,2.0,True
0.8,0.088,10,0.16,60,3,2,2.0,True
3.55,0.037,100,0.131,50,2,2,2.0,True
3.55,0.037,100,0.035,60,3,2,2.0,True
25.0,0.5,100,2.197,50,2,2,2.0,True
0.54,0.057,10,0.031,50,2,2,2.0,True
5.37,0.057,100,2.683,60,3,2,2.0,True
2.19,0.324,10,0.438,50,3,2,2.0,True
1.66,0.21,10,0.094,50,2,2,2.0,True
2.5,0.5,10,0.524,50,2,2,2.0,True
2.5,0.5,10,0.5,50,3,2,2.0,True
16.57,0.21,100,2.249,60,3,2,2.0,True
25.0,0.5,100,0.386,50,3,2,2.0,True
3.55,0.037,100,1.774,60,3,2,2.0,True
21.89,0.324,100,0.338,50,2,2,2.0,True
21.89,0.324,100,4.589,50,2,2,2.0,True
25.0,0.5,100,0.25,40,3,2,1.929,False
25.0,0.5,100,12.5,40,3,2,1.929,False
2.33,0.024,100,0.086,60,3,2,1.808,False
2.33,0.024,100,0.132,60,3,2,1.808,False
2.33,0.024,100,0.316,60,3,2,1.808,False
2.33,0.024,100,0.754,60,3,2,1.803,False
2.33,0.024,100,0.205,60,3,2,1.798,False
2.33,0.024,100,0.023,60,3,2,1.798,False
2.33,0.024,100,1.164,60,3,2,1.798,False
2.33,0.024,100,0.488,60,3,2,1.798,False
2.33,0.024,100,0.036,60,3,2,1.798,False
2.33,0.024,100,0.056,60,3,2,1.798,False
12.5,0.5,50,6.25,40,3,2,1.726,False
12.5,0.5,50,0.125,40,3,2,1.714,False
0.99,0.01,100,0.321,60,3,2,1.606,False
1.52,0.015,100,0.319,60,3,2,1.596,False
0.99,0.01,100,0.087,60,3,2,1.596,False
0.99,0.01,100,0.134,60,3,2,1.591,False
1.52,0.015,100,0.087,60,3,2,1.591,False
0.99,0.01,100,0.495,60,3,2,1.585,False
1.52,0.015,100,0.492,60,3,2,1.585,False
1.52,0.015,100,0.134,60,3,2,1.585,False
0.99,0.01,100,0.056,60,3,2,1.585,False
1.52,0.015,100,0.76,60,3,2,1.58,False
0.99,0.01,100,0.015,60,3,2,1.58,False
0.99,0.01,100,0.024,60,3,2,1.58,False
1.52,0.015,100,0.056,60,3,2,1.58,False
0.99,0.01,100,0.036,60,3,2,1.58,False
0.99,0.01,100,0.208,60,3,2,1.58,False
0.99,0.01,100,0.01,60,3,2,1.58,False
1.52,0.015,100,0.206,60,3,2,1.575,False
1.52,0.015,100,0.015,60,3,2,1.575,False
1.52,0.015,100,0.036,60,3,2,1.575,False
1.52,0.015,100,0.023,60,3,2,1.575,False
11.73,0.136,100,0.117,50,3,2,1.496,False
11.73,0.136,100,1.592,50,3,2,1.496,False
11.73,0.136,100,0.117,50,3,2,1.496,False
11.73,0.136,100,1.592,50,3,2,1.496,False
11.73,0.136,100,2.459,50,3,2,1.489,False
11.73,0.136,100,0.28,50,3,2,1.489,False
11.73,0.136,100,1.031,50,3,2,1.489,False
11.73,0.136,100,0.667,50,3,2,1.489,False
11.73,0.136,100,3.797,50,3,2,1.489,False
11.73,0.136,100,0.181,50,3,2,1.489,False
11.73,0.136,100,0.667,50,3,2,1.489,False
11.73,0.136,100,0.432,50,3,2,1.489,False
11.73,0.136,100,5.865,50,3,2,1.489,False
11.73,0.136,100,1.031,50,3,2,1.489,False
11.73,0.136,100,0.181,50,3,2,1.489,False
11.73,0.136,100,0.4320000000000001,50,3,2,1.489,False
11.73,0.136,100,0.28,50,3,2,1.489,False
11.73,0.136,100,2.346,50,3,2,1.474,False
21.89,0.324,100,10.947,40,3,2,1.4169999999999998,False
21.89,0.324,100,0.219,40,3,2,1.405,False
0.23,0.024,10,0.047,60,3,2,1.3259999999999998,False
0.23,0.024,10,0.047,60,3,2,1.3259999999999998,False
5.87,0.136,50,1.173,50,3,2,1.301,False
10.95,0.324,50,0.109,40,3,2,1.274,False
10.95,0.324,50,5.473,40,3,2,1.25,False
2.5,0.5,10,1.25,40,3,2,1.202,False
2.5,0.5,10,0.025,40,3,2,1.202,False
8.02,0.088,100,2.595,50,3,2,1.06,False
8.02,0.088,100,0.124,50,3,2,1.06,False
8.02,0.088,100,0.295,50,3,2,1.06,False
8.02,0.088,100,0.08,50,3,2,1.06,False
