p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.174,0.324,0.057,2.0,10,0.54,50,2,(0.233-0.875j),(0.066-0.092j),(0.053-0.075j),(2.323-8.231j),(2.314-8.221j),(2.314-8.221j),(2.184-6.914j),0.28,1.0,0.99,0.193,0.142,0 days 01:27:11.732072
0.268,0.496,0.057,2.0,10,0.54,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:36.074812
0.268,0.5,0.057,2.0,10,0.54,50,2,(0.315-1.004j),(0.152-0.218j),(0.119-0.173j),(2.323-8.355j),(2.314-8.345j),(2.314-8.345j),(2.195-7.058j),0.48,1.0,0.99,0.21,0.139,0 days 01:27:01.953372
0.008,0.011,0.015,2.0,50,0.76,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:40.024788
0.152,0.2,0.015,2.0,50,0.76,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:59.487973
0.38,0.5,0.015,2.0,50,0.76,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.440823
0.008,0.01,0.088,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.059367
0.008,0.01,0.088,2.0,10,0.8,50,2,(0.269-1.029j),-0j,-0j,(3.955-11.393j),(3.926-11.364j),(3.926-11.364j),(3.632-9.063j),0.0,0.99,0.97,0.178,0.168,0 days 01:24:31.585002
0.012,0.015,0.088,2.0,10,0.8,50,2,(0.269-1.029j),(0.001-0.001j),-0.001j,(3.955-11.393j),(3.926-11.365j),(3.926-11.365j),(3.632-9.064j),0.0,0.99,0.97,0.178,0.168,0 days 01:24:31.159918
0.019,0.024,0.088,2.0,10,0.8,50,2,(0.27-1.03j),(0.001-0.002j),(0.001-0.001j),(3.955-11.394j),(3.926-11.366j),(3.926-11.366j),(3.632-9.065j),0.0,0.99,0.97,0.178,0.168,0 days 01:24:35.597521
0.03,0.037,0.088,2.0,10,0.8,50,2,(0.271-1.033j),(0.003-0.004j),(0.002-0.003j),(3.955-11.396j),(3.926-11.368j),(3.926-11.368j),(3.632-9.068j),0.01,0.99,0.97,0.179,0.168,0 days 01:24:40.748750
0.046,0.057,0.088,2.0,10,0.8,50,2,(0.275-1.038j),(0.007-0.01j),(0.006-0.008j),(3.955-11.402j),(3.926-11.373j),(3.926-11.373j),(3.633-9.074j),0.03,0.99,0.97,0.179,0.168,0 days 01:24:41.769421
0.07,0.088,0.088,2.0,10,0.8,50,2,(0.285-1.052j),(0.017-0.023j),(0.013-0.019j),(3.955-11.414j),(3.926-11.386j),(3.926-11.386j),(3.635-9.09j),0.06,0.99,0.97,0.18,0.168,0 days 01:24:59.593662
0.109,0.136,0.088,2.0,10,0.8,50,2,(0.307-1.084j),(0.039-0.054j),(0.031-0.045j),(3.956-11.444j),(3.927-11.416j),(3.927-11.416j),(3.64-9.127j),0.13,0.99,0.97,0.182,0.167,0 days 01:31:32.925877
0.16,0.2,0.088,2.0,10,0.8,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:06.767966
0.16,0.2,0.088,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:44.470760
0.16,0.2,0.088,2.0,10,0.8,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:04:10.946626
0.16,0.2,0.088,2.0,10,0.8,60,3,(0.334-1.03j),(0.084-0.117j),(0.067-0.096j),(3.818-10.458j),(3.79-10.43j),,,0.11,1.0,,0.185,,0 days 01:27:20.330640
0.168,0.21,0.088,2.0,10,0.8,50,2,(0.358-1.16j),(0.093-0.129j),(0.074-0.106j),(3.956-11.515j),(3.928-11.488j),(3.928-11.488j),(3.652-9.215j),0.26,0.99,0.97,0.188,0.165,0 days 01:33:25.108831
0.259,0.324,0.088,2.0,10,0.8,50,2,(0.475-1.34j),(0.214-0.305j),(0.169-0.245j),(3.955-11.682j),(3.928-11.655j),(3.928-11.655j),(3.675-9.422j),0.45,0.99,0.98,0.201,0.162,0 days 01:46:50.233223
0.401,0.501,0.088,2.0,10,0.8,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.229519
0.401,0.5,0.088,2.0,10,0.8,50,2,(0.725-1.757j),(0.475-0.715j),(0.366-0.548j),(3.938-12.061j),(3.916-12.038j),(3.916-12.038j),(3.713-9.895j),0.65,0.99,0.99,0.232,0.154,0 days 01:44:08.933047
0.0098999999999999,0.01,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:50.428279
0.0152900758389691,0.015,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.792655
0.0236147898142856,0.024,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.975565
0.0364719118365397,0.037,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.282579
0.0563291210073626,0.057,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.322044
0.0869976295096005,0.088,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:40.669096
0.1343636720214477,0.136,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.757925
0.2075182560818499,0.21,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.299890
0.3205020074204148,0.324,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:41.799624
0.4949999999999998,0.5,0.0099999999999999,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.754477
0.01,0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:07.416592
0.01,0.01,0.01,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:49.731611
0.01,0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:23.909032
0.01,0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:53.384856
0.01,0.01,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:43.060844
0.01,0.01,0.01,2.0,100,0.99,50,2,(0.329-1.223j),-0.001j,-0j,(4.803-13.603j),(4.799-13.6j),(4.799-13.6j),(4.593-11.37j),0.0,1.0,1.0,0.175,0.152,0 days 01:26:42.958438
0.015,0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:54.966041
