p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.2075182560818499,0.21,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.299890
0.32050200742041485,0.324,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:41.799624
0.4949999999999998,0.5,0.009999999999999995,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.754477
0.01,0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:07.416592
0.01,0.01,0.01,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:49.731611
0.01,0.01,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:23.909032
0.015,0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:54.966041
0.015,0.015,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:58.245576
0.024,0.024,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:55.197269
0.024,0.024,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:07.275543
0.036000000000000004,0.037000000000000005,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:10.306584
0.036000000000000004,0.036000000000000004,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:54.451719
0.056,0.057,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:53.877039
0.056,0.057,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:05.852465
0.087,0.08800000000000001,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:00.501920
0.087,0.08800000000000001,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:02.504118
0.134,0.135,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:55.295908
0.134,0.136,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:00.121273
0.198,0.2,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:11.662697
0.20800000000000002,0.21,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:58.561660
0.20800000000000002,0.21,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:00.907419
0.321,0.324,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:59.403730
0.321,0.324,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:01.772300
0.495,0.5,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:59.428115
0.495,0.5,0.01,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.626865
0.495,0.5,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:58.829810
0.012,0.01,0.024,2.0,50,1.16,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.479663
0.233,0.201,0.024,2.0,50,1.16,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:20.886197
0.5820000000000001,0.502,0.024,2.0,50,1.16,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:44.697617
0.012,0.01,0.136,2.0,10,1.17,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:50.169092
0.235,0.201,0.136,2.0,10,1.17,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:05:55.366303
0.235,0.201,0.136,2.0,10,1.17,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:08.077788
0.5870000000000001,0.502,0.136,2.0,10,1.17,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:50.131471
0.015,0.01,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:23.666098
0.015,0.01,0.015,2.0,100,1.52,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:43.868507
0.015,0.01,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:28.582839
0.023,0.015,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:27.791870
0.023,0.015,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:32.107844
0.036000000000000004,0.024,0.015,2.0,100,1.52,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:34.593330
